top_k_setting,model_kind,temperature,method,n,coverage,acc,acc_within1,acc_within2,mae,rmse,score_inv1p_abs
40,reasoning,0.1,window_w3_median,352,0.9943502824858758,0.2840909090909091,0.5653409090909091,0.6931818181818182,6.5625,29.11429280361358,0.5116141611266083
40,reasoning,0.1,window_w3_mode,352,0.9943502824858758,0.2869318181818182,0.5482954545454546,0.6931818181818182,6.599431818181818,29.111706876662648,0.5093024472444566
40,reasoning,0.4,adaptive_v2,353,0.9971751412429378,0.3286118980169972,0.6515580736543909,0.7847025495750708,5.036827195467422,24.90980898299714,0.5631680658431362
40,reasoning,0.4,calib_map,353,0.9971751412429378,0.3342776203966006,0.6543909348441926,0.7932011331444759,5.008498583569405,24.80998610972752,0.5673230310311307
40,reasoning,0.4,centrality_k,353,0.9971751412429378,0.2719546742209632,0.5722379603399433,0.6940509915014165,10.628895184135978,95.44471725030937,0.5074959091383651
40,reasoning,0.4,iqr_fence_mode,353,0.9971751412429378,0.3087818696883853,0.6062322946175638,0.7393767705382436,10.65155807365439,95.8920249721414,0.5389638063668647
40,reasoning,0.4,kde_mode_h1,353,0.9971751412429378,0.32577903682719545,0.603399433427762,0.7507082152974505,10.504249291784703,95.53451833046817,0.5475431515604665
40,reasoning,0.4,kde_mode_h2,353,0.9971751412429378,0.32577903682719545,0.6260623229461756,0.7620396600566572,10.439093484419264,95.52679347677632,0.5524349468913554
40,reasoning,0.4,kernel_inv1p_argmax,353,0.9971751412429378,0.31444759206798867,0.603399433427762,0.7450424929178471,10.623229461756374,95.88345735197342,0.5412788772558751
40,reasoning,0.4,median_of_means_g5,353,0.9971751412429378,0.26912181303116145,0.56657223796034,0.7365439093484419,9.784702549575071,74.12671946230742,0.5113025133113349
40,reasoning,0.4,mix_lap_u_p85_b1_d50,353,0.9971751412429378,0.311614730878187,0.6345609065155807,0.7818696883852692,10.067988668555241,95.37835793026156,0.5507600466603665
40,reasoning,0.4,mode,353,0.9971751412429378,0.3031161473087819,0.6147308781869688,0.7422096317280453,10.640226628895185,95.89161138047726,0.5380195193035975
40,reasoning,0.4,ransac_r2_median,353,0.9971751412429378,0.31728045325779036,0.6543909348441926,0.7790368271954674,10.118980169971671,95.38667393163144,0.5558029727239221
40,reasoning,0.4,ransac_r3_median,353,0.9971751412429378,0.32011331444759206,0.6373937677053825,0.773371104815864,10.053824362606232,95.37376896906947,0.5547629778238461
40,reasoning,0.4,tri_mean_med_h2,353,0.9971751412429378,0.311614730878187,0.6345609065155807,0.7790368271954674,4249299.107648726,79836989.28666747,0.5504593329217281
40,reasoning,0.4,tri_mean_med_h3,353,0.9971751412429378,0.3059490084985836,0.6402266288951841,0.7818696883852692,4249299.220963173,79836989.28666775,0.5488945704362856
40,reasoning,0.4,trim_med_r2_median,353,0.9971751412429378,0.32294617563739375,0.6430594900849859,0.7762039660056658,7.949008498583569,59.51941621450584,0.5567141270834309
40,reasoning,0.4,trim_med_r2_mode,353,0.9971751412429378,0.3059490084985836,0.623229461756374,0.7535410764872521,10.413597733711049,95.84394776377994,0.5429418898085081
40,reasoning,0.4,trim_med_r3_median,353,0.9971751412429378,0.32294617563739375,0.6487252124645893,0.7818696883852692,7.960339943342777,59.55120157532639,0.5578157835505665
40,reasoning,0.4,trim_med_r3_mode,353,0.9971751412429378,0.311614730878187,0.623229461756374,0.7450424929178471,10.104815864022664,94.91449857455949,0.5446643224940707
40,reasoning,0.4,window_w2_median,353,0.9971751412429378,0.311614730878187,0.6175637393767706,0.7563739376770539,10.541076487252125,95.54746087915292,0.5430922032886749
40,reasoning,0.4,window_w2_mode,353,0.9971751412429378,0.311614730878187,0.6090651558073654,0.7450424929178471,10.558073654390935,95.49698540248887,0.5408859577444924
40,reasoning,0.4,window_w3_median,353,0.9971751412429378,0.3314447592067989,0.6543909348441926,0.7790368271954674,10.339943342776204,95.51381846839544,0.5625994507787077
40,reasoning,0.4,window_w3_mode,353,0.9971751412429378,0.31728045325779036,0.6260623229461756,0.7535410764872521,10.427762039660056,95.46583269664906,0.5481496113552619
40,reasoning,0.7,adaptive_v2,353,0.9971751412429378,0.38526912181303113,0.6515580736543909,0.7932011331444759,3.691218130311615,16.612309849232652,0.5966551728922853
40,reasoning,0.7,calib_map,353,0.9971751412429378,0.39943342776203966,0.660056657223796,0.7932011331444759,3.6657223796033995,16.609837011614772,0.6051931017559932
40,reasoning,0.7,centrality_k,353,0.9971751412429378,0.28611898016997167,0.5354107648725213,0.71671388101983,inf,inf,0.5088493929924336
40,reasoning,0.7,iqr_fence_mode,353,0.9971751412429378,0.3342776203966006,0.6260623229461756,0.7450424929178471,389350.7988668555,7315137.517674489,0.5563914567545869
40,reasoning,0.7,kde_mode_h1,353,0.9971751412429378,0.3371104815864023,0.6260623229461756,0.7620396600566572,10.303116147308781,95.2945783201951,0.5595925297462615
40,reasoning,0.7,kde_mode_h2,353,0.9971751412429378,0.34277620396600567,0.6260623229461756,0.7677053824362606,10.23512747875354,95.28497588232462,0.56347830524554
40,reasoning,0.7,kernel_inv1p_argmax,353,0.9971751412429378,0.3314447592067989,0.6260623229461756,0.7563739376770539,389355.83002832864,7315139.327892107,0.556386762301639
