top_k_setting,model_kind,temperature,method,n,coverage,acc,acc_within1,acc_within2,mae,rmse,score_inv1p_abs
40,base,0.7,trimmed_mean_10,353,0.9971751412429378,0.09631728045325778,0.2776203966005666,0.43059490084985835,46689.402266288955,876125.7330930362,0.3174299075815848
40,base,0.7,winsor_mean_10,353,0.9971751412429378,0.08498583569405099,0.26628895184135976,0.40226628895184136,61775.99150141643,1159577.9640126927,0.3056319147798546
40,base,1.0,cluster_mean_mean,0,0.0,,,,,,
40,base,1.0,cluster_mean_median,0,0.0,,,,,,
40,base,1.0,cluster_mean_mode,0,0.0,,,,,,
40,base,1.0,cluster_median_mean,0,0.0,,,,,,
40,base,1.0,cluster_median_median,0,0.0,,,,,,
40,base,1.0,cluster_median_mode,0,0.0,,,,,,
40,base,1.0,cluster_mode_mean,0,0.0,,,,,,
40,base,1.0,cluster_mode_median,0,0.0,,,,,,
40,base,1.0,cluster_mode_mode,0,0.0,,,,,,
40,base,1.0,dedup_k_mean,353,0.9971751412429378,0.053824362606232294,0.1643059490084986,0.26628895184135976,inf,inf,0.22099848940216213
40,base,1.0,dedup_k_median,353,0.9971751412429378,0.10764872521246459,0.29178470254957506,0.46458923512747874,174936.8300283286,3285471.284571009,0.33744520277100853
40,base,1.0,dedup_k_mode,353,0.9971751412429378,0.13314447592067988,0.3059490084985836,0.45609065155807366,67.19830028328612,1051.6426150559419,0.3518208136797256
40,base,1.0,dedup_text_mean,353,0.9971751412429378,0.056657223796033995,0.1954674220963173,0.32294617563739375,inf,inf,0.24172744193074874
40,base,1.0,dedup_text_median,353,0.9971751412429378,0.18413597733711048,0.38526912181303113,0.5212464589235127,70.1841359773371,1055.781319908352,0.4006961094975312
40,base,1.0,dedup_text_mode,353,0.9971751412429378,0.23796033994334279,0.39943342776203966,0.5042492917847026,72.66005665722379,1057.2215027840705,0.414882814955209
40,base,1.0,mean,353,0.9971751412429378,0.05099150141643059,0.1954674220963173,0.32294617563739375,inf,inf,0.23894982429196163
40,base,1.0,median,353,0.9971751412429378,0.18413597733711048,0.38526912181303113,0.5212464589235127,70.1813031161473,1055.781307834,0.40079053820385785
40,base,1.0,mode,353,0.9971751412429378,0.23796033994334279,0.39943342776203966,0.5042492917847026,72.66005665722379,1057.2215027840705,0.414882814955209
40,base,1.0,trimmed_mean_10,353,0.9971751412429378,0.0821529745042493,0.2577903682719547,0.42209631728045327,inf,inf,0.3035554163006664
40,base,1.0,winsor_mean_10,353,0.9971751412429378,0.07932011331444759,0.26062322946175637,0.41359773371104813,inf,inf,0.29867456790251035
40,reasoning,0.1,cluster_mean_mean,351,0.9915254237288136,0.3903133903133903,0.6951566951566952,0.7977207977207977,3.0292269960970816e+27,4.380226748193952e+28,0.6038310105973199
40,reasoning,0.1,cluster_mean_median,351,0.9915254237288136,0.4074074074074074,0.7122507122507122,0.8148148148148148,1774.2564102564102,33174.447157404604,0.6194005067969007
40,reasoning,0.1,cluster_mean_mode,351,0.9915254237288136,0.4131054131054131,0.717948717948718,0.8091168091168092,59.81196581196581,1053.0185291779167,0.6246005731012316
40,reasoning,0.1,cluster_median_mean,351,0.9915254237288136,0.396011396011396,0.7122507122507122,0.8148148148148148,1.0180436847103514e+27,1.9073042319894821e+28,0.6129596184138555
40,reasoning,0.1,cluster_median_median,351,0.9915254237288136,0.42450142450142453,0.7407407407407407,0.8376068376068376,31.65811965811966,526.7327395533516,0.6362671068960426
40,reasoning,0.1,cluster_median_mode,351,0.9915254237288136,0.4472934472934473,0.7578347578347578,0.8461538461538461,3.6125356125356127,19.13067970519882,0.6547976323057005
40,reasoning,0.1,cluster_mode_mean,351,0.9915254237288136,0.4045584045584046,0.7094017094017094,0.8091168091168092,1.0180436847103514e+27,1.9073042319894821e+28,0.6169482848638607
40,reasoning,0.1,cluster_mode_median,351,0.9915254237288136,0.42450142450142453,0.7350427350427351,0.8347578347578347,31.62962962962963,526.745228371872,0.6357000464218998
40,reasoning,0.1,cluster_mode_mode,351,0.9915254237288136,0.45014245014245013,0.7549857549857549,0.8461538461538461,4.002849002849003,20.16534219003054,0.6546695266087164
40,reasoning,0.1,dedup_k_mean,352,0.9943502824858758,0.3210227272727273,0.6335227272727273,0.7414772727272727,9.915559753784683e+27,1.3210567116735814e+29,0.5501928296075936
40,reasoning,0.1,dedup_k_median,352,0.9943502824858758,0.3778409090909091,0.7017045454545454,0.8096590909090909,3.9261363636363638,17.760560238911385,0.6037706255068233
40,reasoning,0.1,dedup_k_mode,352,0.9943502824858758,0.4034090909090909,0.7130681818181818,0.8125,4.082386363636363,19.385810766922003,0.6197436129826168
40,reasoning,0.1,dedup_text_mean,352,0.9943502824858758,0.41761363636363635,0.6960227272727273,0.8011363636363636,7.439726315788128e+27,1.0583057862517257e+29,0.6192356301937569
40,reasoning,0.1,dedup_text_median,352,0.9943502824858758,0.4630681818181818,0.75,0.8494318181818182,3.53125,18.955615023234962,0.6614434694968302
