top_k_setting,model_kind,method,n,coverage,acc,acc_within1,acc_within2,mae,rmse,score_inv1p_abs
40,base,cluster_mean_mean,0,0.0,,,,,,
40,base,cluster_mean_median,0,0.0,,,,,,
40,base,cluster_mean_mode,0,0.0,,,,,,
40,base,cluster_median_mean,0,0.0,,,,,,
40,base,cluster_median_median,0,0.0,,,,,,
40,base,cluster_median_mode,0,0.0,,,,,,
40,base,cluster_mode_mean,0,0.0,,,,,,
40,base,cluster_mode_median,0,0.0,,,,,,
40,base,cluster_mode_mode,0,0.0,,,,,,
40,base,dedup_k_mean,1412,0.9971751412429378,0.07790368271954674,0.22237960339943344,0.34631728045325777,inf,inf,0.2718792394883951
40,base,dedup_k_median,1412,0.9971751412429378,0.1253541076487252,0.3526912181303116,0.5212464589235127,131213.66288951843,3673268.1665557153,0.3629012189957243
40,base,dedup_k_mode,1412,0.9971751412429378,0.14589235127478753,0.3689801699716714,0.5240793201133145,87489.25566572238,3285470.87025375,0.37670855931918124
40,base,dedup_text_mean,1412,0.9971751412429378,0.08994334277620397,0.26628895184135976,0.39305949008498586,inf,inf,0.29592031265948043
40,base,dedup_text_median,1412,0.9971751412429378,0.2075070821529745,0.4256373937677054,0.5601983002832861,43786.37039660056,1642735.710421496,0.42157435381532776
40,base,dedup_text_mode,1412,0.9971751412429378,0.22875354107648727,0.4093484419263456,0.5254957507082153,44.12747875354108,753.6256556773955,0.4159503505923373
40,base,mean,1412,0.9971751412429378,0.07152974504249292,0.21529745042492918,0.334985835694051,inf,inf,0.26494023331302796
40,base,median,1412,0.9971751412429378,0.17492917847025496,0.3640226628895184,0.4943342776203966,71.39447592067988,1057.3513011668922,0.3784397611610062
40,base,mode,1412,0.9971751412429378,0.18909348441926346,0.34277620396600567,0.43342776203966005,59.78399433427762,918.6197835106883,0.3606715652274767
40,base,trimmed_mean_10,1412,0.9971751412429378,0.09419263456090651,0.2577903682719547,0.3980169971671388,inf,inf,0.3032573557943377
40,base,winsor_mean_10,1412,0.9971751412429378,0.08640226628895184,0.2471671388101983,0.3781869688385269,inf,inf,0.29420152685963746
40,reasoning,cluster_mean_mean,1410,0.9957627118644068,0.3638297872340426,0.6524822695035462,0.7581560283687944,9.014842138752777e+26,2.254447394029632e+28,0.5772639600211223
