top_k_setting,model_kind,method,n,coverage,acc,acc_within1,acc_within2,mae,rmse
40,reasoning,cluster_mean_mean,1408,0.9943502824858758,0.22514204545454544,0.5092329545454546,0.6661931818181818,3.085335260499734e+26,9.087431557485628e+27
40,reasoning,cluster_mean_mean_wlen,1408,0.9943502824858758,0.24147727272727273,0.5291193181818182,0.6853693181818182,3.301196971455062e+26,9.646819263273653e+27
40,reasoning,cluster_mean_mean_wsize,1408,0.9943502824858758,0.23082386363636365,0.5184659090909091,0.6839488636363636,2.965011961722488e+26,8.662511857695445e+27
40,reasoning,cluster_mean_median,1408,0.9943502824858758,0.28125,0.5838068181818182,0.7365056818181818,65101.74644886364,1931775.9944282682
40,reasoning,cluster_mean_median_wlen,1408,0.9943502824858758,0.26988636363636365,0.5752840909090909,0.7294034090909091,381734.3721590909,10198372.144452197
40,reasoning,cluster_mean_median_wsize,1408,0.9943502824858758,0.2627840909090909,0.5731534090909091,0.7208806818181818,381734.24076704547,10198372.144447735
40,reasoning,cluster_mean_mode,1408,0.9943502824858758,0.2947443181818182,0.5788352272727273,0.7230113636363636,97733.03338068182,3666350.425022538
40,reasoning,cluster_mean_mode_wlen,1408,0.9943502824858758,0.2819602272727273,0.5632102272727273,0.7080965909090909,446841.51420454547,10486994.216837425
40,reasoning,cluster_mean_mode_wsize,1408,0.9943502824858758,0.26207386363636365,0.5660511363636364,0.7137784090909091,446842.56605113635,10486994.216932252
40,reasoning,cluster_median_mean,1408,0.9943502824858758,0.2393465909090909,0.5248579545454546,0.6740056818181818,3.085335260499734e+26,9.087431557485628e+27
40,reasoning,cluster_median_mean_wlen,1408,0.9943502824858758,0.2734375,0.5610795454545454,0.7095170454545454,3.301196971455062e+26,9.646819263273653e+27
40,reasoning,cluster_median_mean_wsize,1408,0.9943502824858758,0.265625,0.5532670454545454,0.7024147727272727,2.965011961722488e+26,8.662511857695445e+27
40,reasoning,cluster_median_median,1408,0.9943502824858758,0.3096590909090909,0.6008522727272727,0.7514204545454546,48813.27627840909,1831380.695955686
40,reasoning,cluster_median_median_wlen,1408,0.9943502824858758,0.3352272727272727,0.6100852272727273,0.765625,97630.68821022728,3662761.410103359
40,reasoning,cluster_median_median_wsize,1408,0.9943502824858758,0.3224431818181818,0.6086647727272727,0.7563920454545454,97630.66193181818,3662761.410099286
40,reasoning,cluster_median_mode,1408,0.9943502824858758,0.32173295454545453,0.6015625,0.7400568181818182,6.919034090909091,52.69158765012598
40,reasoning,cluster_median_mode_wlen,1408,0.9943502824858758,0.3380681818181818,0.6044034090909091,0.7471590909090909,195111.1953125,5176694.474162542
40,reasoning,cluster_median_mode_wsize,1408,0.9943502824858758,0.32386363636363635,0.6065340909090909,0.7507102272727273,195111.85227272726,5176694.474318989
40,reasoning,cluster_mode_mean,1408,0.9943502824858758,0.24360795454545456,0.5291193181818182,0.6697443181818182,3.085335260499734e+26,9.087431557485628e+27
40,reasoning,cluster_mode_mean_wlen,1408,0.9943502824858758,0.2713068181818182,0.5482954545454546,0.7045454545454546,3.301196971455062e+26,9.646819263273653e+27
40,reasoning,cluster_mode_mean_wsize,1408,0.9943502824858758,0.2627840909090909,0.5426136363636364,0.6910511363636364,2.965011961722488e+26,8.662511857695445e+27
40,reasoning,cluster_mode_median,1408,0.9943502824858758,0.3075284090909091,0.6001420454545454,0.7464488636363636,48813.37002840909,1831380.695964218
40,reasoning,cluster_mode_median_wlen,1408,0.9943502824858758,0.328125,0.6008522727272727,0.75,97630.91264204546,3662761.4101112755
40,reasoning,cluster_mode_median_wsize,1408,0.9943502824858758,0.31392045454545453,0.5987215909090909,0.7400568181818182,97630.90980113637,3662761.4101074087
40,reasoning,cluster_mode_mode,1408,0.9943502824858758,0.31676136363636365,0.6008522727272727,0.7322443181818182,35.10653409090909,745.4190134963142
40,reasoning,cluster_mode_mode_wlen,1408,0.9943502824858758,0.3330965909090909,0.5951704545454546,0.7365056818181818,195111.43536931818,5176694.4741683565
40,reasoning,cluster_mode_mode_wsize,1408,0.9943502824858758,0.3153409090909091,0.59375,0.7357954545454546,195112.10227272726,5176694.474324721
40,reasoning,dedup_k_mean,1411,0.9964689265536724,0.1708008504606662,0.43869596031183555,0.6109142452161588,3.819850831899025e+26,1.1057596483833767e+28
40,reasoning,dedup_k_median,1411,0.9964689265536724,0.21970233876683204,0.5471296952515946,0.7158043940467753,146031.49114103473,4089160.626378091
40,reasoning,dedup_k_mode,1411,0.9964689265536724,0.23245924875974486,0.556343019135365,0.7172218284904324,194640.67399007795,5169434.564646298
40,reasoning,dedup_text_mean,1411,0.9964689265536724,0.23175053153791636,0.518781006378455,0.6824946846208363,2.9587078966018873e+26,8.653298050594881e+27
40,reasoning,dedup_text_median,1411,0.9964689265536724,0.3196314670446492,0.6116229624379872,0.7625797306874557,97412.51878100638,3658865.0732799163
40,reasoning,dedup_text_mode,1411,0.9964689265536724,0.3189227498228207,0.6066619418851878,0.7377746279234585,97413.4996456414,3658864.6209146944
40,reasoning,mean,1411,0.9964689265536724,0.23245924875974486,0.518781006378455,0.6824946846208363,2.9587078966018873e+26,8.653298050594881e+27
40,reasoning,median,1411,0.9964689265536724,0.3196314670446492,0.6116229624379872,0.7618710134656272,97412.50815024805,3658865.0732798357
40,reasoning,mode,1411,0.9964689265536724,0.3196314670446492,0.6066619418851878,0.7370659107016301,97413.50106307583,3658864.6209146963
40,reasoning,trimmed_mean_10,1411,0.9964689265536724,0.2671863926293409,0.5719347980155918,0.7207654145995748,1.5149872847792556e+26,5.690789148671227e+27
40,reasoning,winsor_mean_10,1411,0.9964689265536724,0.25584691708008506,0.5584691708008505,0.7129695251594613,2.1574844268715728e+26,8.104219149705189e+27
none,reasoning,cluster_mean_mean,1410,0.9957627118644068,0.21843971631205675,0.49929078014184397,0.6602836879432624,2.3758865248226954e+63,8.9214459916294e+64
none,reasoning,cluster_mean_mean_wlen,1410,0.9957627118644068,0.24184397163120566,0.5319148936170213,0.6858156028368795,2.3758865248226954e+63,8.9214459916294e+64
none,reasoning,cluster_mean_mean_wsize,1410,0.9957627118644068,0.2397163120567376,0.5141843971631206,0.6680851063829787,2.3758865248226954e+63,8.9214459916294e+64
none,reasoning,cluster_mean_median,1410,0.9957627118644068,0.2843971631205674,0.5780141843971631,0.7283687943262411,2.3758865248226954e+63,8.9214459916294e+64
none,reasoning,cluster_mean_median_wlen,1410,0.9957627118644068,0.27092198581560284,0.5801418439716312,0.7163120567375887,2.3758865248226954e+63,8.9214459916294e+64
none,reasoning,cluster_mean_median_wsize,1410,0.9957627118644068,0.2645390070921986,0.573758865248227,0.7106382978723405,2.3758865248226954e+63,8.9214459916294e+64
none,reasoning,cluster_mean_mode,1410,0.9957627118644068,0.2900709219858156,0.5645390070921986,0.7092198581560284,2.3758865248226954e+63,8.9214459916294e+64
none,reasoning,cluster_mean_mode_wlen,1410,0.9957627118644068,0.2773049645390071,0.5659574468085107,0.7021276595744681,2.3758865248226954e+63,8.9214459916294e+64
none,reasoning,cluster_mean_mode_wsize,1410,0.9957627118644068,0.2680851063829787,0.5581560283687943,0.7,2.3758865248226954e+63,8.9214459916294e+64
none,reasoning,cluster_median_mean,1410,0.9957627118644068,0.2326241134751773,0.5148936170212766,0.6695035460992907,2.0354609929078016e+26,7.643149252530262e+27
none,reasoning,cluster_median_mean_wlen,1410,0.9957627118644068,0.2624113475177305,0.5617021276595745,0.7049645390070922,1.8148180107328056e+26,6.814635588960756e+27
none,reasoning,cluster_median_mean_wsize,1410,0.9957627118644068,0.24964539007092199,0.5397163120567375,0.6929078014184397,2.0354609929078016e+26,7.643149252530262e+27
