top_k_setting,model_kind,method,n,coverage,acc,acc_within1,acc_within2,mae,rmse
40,reasoning,cluster_mean_mean,1408,0.9943502824858758,0.22514204545454544,0.5092329545454546,0.6661931818181818,3.0853352604997346e+26,9.087431557485629e+27
40,reasoning,cluster_mean_mean_wlen,1408,0.9943502824858758,0.2372159090909091,0.5071022727272727,0.6725852272727273,3.410322756174955e+26,1.003204236652484e+28
40,reasoning,cluster_mean_mean_wsize,1408,0.9943502824858758,0.23082386363636365,0.5184659090909091,0.6839488636363636,2.965011961722488e+26,8.662511857695445e+27
40,reasoning,cluster_mean_median,1408,0.9943502824858758,0.28125,0.5838068181818182,0.7365056818181818,65101.74644886364,1931775.9944282682
40,reasoning,cluster_mean_median_wlen,1408,0.9943502824858758,0.30326704545454547,0.5923295454545454,0.7365056818181818,251537.66619318182,9438207.483779702
40,reasoning,cluster_mean_median_wsize,1408,0.9943502824858758,0.2627840909090909,0.5731534090909091,0.7208806818181818,381734.24076704547,10198372.144447735
40,reasoning,cluster_mean_mode,1408,0.9943502824858758,0.2961647727272727,0.5830965909090909,0.7237215909090909,20.899857954545453,528.3246079213302
40,reasoning,cluster_mean_mode_wlen,1408,0.9943502824858758,0.3053977272727273,0.5809659090909091,0.7123579545454546,251556.421875,9438207.501835622
40,reasoning,cluster_mean_mode_wsize,1408,0.9943502824858758,0.2627840909090909,0.5660511363636364,0.7137784090909091,446842.5653409091,10486994.216932252
40,reasoning,cluster_median_mean,1408,0.9943502824858758,0.2393465909090909,0.5248579545454546,0.6740056818181818,3.0853352604997346e+26,9.087431557485629e+27
40,reasoning,cluster_median_mean_wlen,1408,0.9943502824858758,0.2528409090909091,0.5262784090909091,0.6825284090909091,3.410322756174955e+26,1.003204236652484e+28
40,reasoning,cluster_median_mean_wsize,1408,0.9943502824858758,0.265625,0.5532670454545454,0.7024147727272727,2.965011961722488e+26,8.662511857695445e+27
40,reasoning,cluster_median_median,1408,0.9943502824858758,0.3096590909090909,0.6008522727272727,0.7514204545454546,48813.27627840909,1831380.695955686
40,reasoning,cluster_median_median_wlen,1408,0.9943502824858758,0.3274147727272727,0.6100852272727273,0.7542613636363636,7.181818181818182,53.95115636135404
40,reasoning,cluster_median_median_wsize,1408,0.9943502824858758,0.3224431818181818,0.6086647727272727,0.7563920454545454,97630.66193181818,3662761.410099286
40,reasoning,cluster_median_mode,1408,0.9943502824858758,0.3174715909090909,0.6022727272727273,0.7386363636363636,6.926846590909091,52.60944355471139
40,reasoning,cluster_median_mode_wlen,1408,0.9943502824858758,0.3288352272727273,0.5951704545454546,0.7286931818181818,20.556107954545453,526.9743698755015
40,reasoning,cluster_median_mode_wsize,1408,0.9943502824858758,0.32386363636363635,0.6065340909090909,0.7514204545454546,195111.8515625,5176694.474318988
40,reasoning,cluster_mode_mean,1408,0.9943502824858758,0.23863636363636365,0.5227272727272727,0.6669034090909091,3.0853352604997346e+26,9.087431557485629e+27
40,reasoning,cluster_mode_mean_wlen,1408,0.9943502824858758,0.24431818181818182,0.5220170454545454,0.6796875,3.410322756174955e+26,1.003204236652484e+28
