top_k_setting,model_kind,temperature,method,n,coverage,acc,acc_within1,acc_within2,mae,rmse
40,reasoning,0.1,cluster_median_mode_wlen,350,0.9887005649717514,0.28,0.5428571428571428,0.6857142857142857,63.43142857142857,1054.9806430180874
40,reasoning,0.1,cluster_median_mode_wsize,350,0.9887005649717514,0.3,0.5714285714285714,0.7057142857142857,6.357142857142857,28.463962177763356
40,reasoning,0.1,cluster_mode_mean,350,0.9887005649717514,0.2342857142857143,0.5314285714285715,0.6714285714285714,33.19428571428571,426.64645115799834
40,reasoning,0.1,cluster_mode_mean_wlen,350,0.9887005649717514,0.24,0.5057142857142857,0.6771428571428572,32.502857142857145,443.3693784129501
40,reasoning,0.1,cluster_mode_mean_wsize,350,0.9887005649717514,0.24857142857142858,0.5228571428571429,0.6742857142857143,20.097142857142856,215.94746715678
40,reasoning,0.1,cluster_mode_median,350,0.9887005649717514,0.26285714285714284,0.5485714285714286,0.6914285714285714,6.654285714285714,29.860198066513703
40,reasoning,0.1,cluster_mode_median_wlen,350,0.9887005649717514,0.2914285714285714,0.56,0.6942857142857143,6.768571428571429,30.258174810406903
40,reasoning,0.1,cluster_mode_median_wsize,350,0.9887005649717514,0.28,0.5428571428571428,0.6828571428571428,6.517142857142857,29.12097918290916
40,reasoning,0.1,cluster_mode_mode,350,0.9887005649717514,0.28285714285714286,0.5628571428571428,0.6971428571428572,6.74,30.230306458443795
40,reasoning,0.1,cluster_mode_mode_wlen,350,0.9887005649717514,0.28285714285714286,0.5428571428571428,0.6914285714285714,6.8914285714285715,30.323211288667018
40,reasoning,0.1,cluster_mode_mode_wsize,350,0.9887005649717514,0.2914285714285714,0.5571428571428572,0.6857142857142857,6.537142857142857,29.13083785759885
40,reasoning,0.1,dedup_k_mean,352,0.9943502824858758,0.1903409090909091,0.4772727272727273,0.6534090909090909,49.80965909090909,474.81615760494844
40,reasoning,0.1,dedup_k_median,352,0.9943502824858758,0.21022727272727273,0.5170454545454546,0.6988636363636364,8.056818181818182,39.05503110414143
40,reasoning,0.1,dedup_k_mode,352,0.9943502824858758,0.20454545454545456,0.5170454545454546,0.6875,6.65625,28.5289426404453
40,reasoning,0.1,dedup_text_mean,352,0.9943502824858758,0.22727272727272727,0.4971590909090909,0.6676136363636364,35.42045454545455,353.6325214502658
40,reasoning,0.1,dedup_text_median,352,0.9943502824858758,0.2869318181818182,0.5625,0.7017045454545454,6.5085227272727275,29.162018027813943
40,reasoning,0.1,dedup_text_mode,352,0.9943502824858758,0.2869318181818182,0.5482954545454546,0.6903409090909091,6.448863636363637,29.027220766972256
40,reasoning,0.1,mean,352,0.9943502824858758,0.23011363636363635,0.4971590909090909,0.6676136363636364,35.42045454545455,353.6326499863434
40,reasoning,0.1,median,352,0.9943502824858758,0.2869318181818182,0.5625,0.6988636363636364,6.465909090909091,29.121610220215878
40,reasoning,0.1,mode,352,0.9943502824858758,0.2897727272727273,0.5482954545454546,0.6875,6.454545454545454,29.028199455639058
40,reasoning,0.1,trimmed_mean_10,352,0.9943502824858758,0.26420454545454547,0.53125,0.6846590909090909,21.90625,251.39741830778252
40,reasoning,0.1,winsor_mean_10,352,0.9943502824858758,0.25,0.5284090909090909,0.6818181818181818,26.982954545454547,305.0633410383072
40,reasoning,0.4,cluster_mean_mean,352,0.9943502824858758,0.23295454545454544,0.5170454545454546,0.6590909090909091,5746803.3835227275,106607360.94992794
40,reasoning,0.4,cluster_mean_mean_wlen,352,0.9943502824858758,0.24431818181818182,0.5255681818181818,0.6647727272727273,4353501.625,80588561.08143488
40,reasoning,0.4,cluster_mean_mean_wsize,352,0.9943502824858758,0.21306818181818182,0.5142045454545454,0.7045454545454546,4358811.0227272725,79971205.44746047
40,reasoning,0.4,cluster_mean_median,352,0.9943502824858758,0.2755681818181818,0.5965909090909091,0.7272727272727273,64962.920454545456,1218568.2628606847
40,reasoning,0.4,cluster_mean_median_wlen,352,0.9943502824858758,0.3068181818181818,0.6193181818181818,0.7414772727272727,6.0,27.50723045442284
40,reasoning,0.4,cluster_mean_median_wsize,352,0.9943502824858758,0.26420454545454547,0.5909090909090909,0.7301136363636364,129907.76988636363,2437136.5117955324
40,reasoning,0.4,cluster_mean_mode,352,0.9943502824858758,0.29829545454545453,0.5965909090909091,0.7244318181818182,6.201704545454546,27.737558636096818
40,reasoning,0.4,cluster_mean_mode_wlen,352,0.9943502824858758,0.3153409090909091,0.6079545454545454,0.7159090909090909,33.13636363636363,526.1766899919733
40,reasoning,0.4,cluster_mean_mode_wsize,352,0.9943502824858758,0.26136363636363635,0.5710227272727273,0.71875,129908.00852272728,2437136.5117982565
40,reasoning,0.4,cluster_median_mean,352,0.9943502824858758,0.2471590909090909,0.5426136363636364,0.6761363636363636,5681851.738636363,106600398.52645789
40,reasoning,0.4,cluster_median_mean_wlen,352,0.9943502824858758,0.2528409090909091,0.5426136363636364,0.6846590909090909,4295014.065340909,80581092.29661465
40,reasoning,0.4,cluster_median_mean_wsize,352,0.9943502824858758,0.2528409090909091,0.5568181818181818,0.71875,4261384.105113637,79950321.88035202
40,reasoning,0.4,cluster_median_median,352,0.9943502824858758,0.3096590909090909,0.6107954545454546,0.7471590909090909,6.1164772727272725,28.248944067152156
40,reasoning,0.4,cluster_median_median_wlen,352,0.9943502824858758,0.3210227272727273,0.6306818181818182,0.7670454545454546,6.090909090909091,28.24185320985988
40,reasoning,0.4,cluster_median_median_wsize,352,0.9943502824858758,0.33238636363636365,0.6278409090909091,0.7698863636363636,9.75,94.72325120149655
40,reasoning,0.4,cluster_median_mode,352,0.9943502824858758,0.32954545454545453,0.6136363636363636,0.7471590909090909,6.323863636363637,28.465389670456105
40,reasoning,0.4,cluster_median_mode_wlen,352,0.9943502824858758,0.32954545454545453,0.6193181818181818,0.7443181818181818,5.1875,23.019507537580537
40,reasoning,0.4,cluster_median_mode_wsize,352,0.9943502824858758,0.32954545454545453,0.6136363636363636,0.7613636363636364,10.019886363636363,94.80975268687
40,reasoning,0.4,cluster_mode_mean,352,0.9943502824858758,0.22727272727272727,0.5426136363636364,0.6676136363636364,5681847.485795454,106600398.52627827
40,reasoning,0.4,cluster_mode_mean_wlen,352,0.9943502824858758,0.23579545454545456,0.5482954545454546,0.6761363636363636,4295006.224431818,80581092.29633224
40,reasoning,0.4,cluster_mode_mean_wsize,352,0.9943502824858758,0.2471590909090909,0.5511363636363636,0.6875,4261381.403409091,79950321.88028887
40,reasoning,0.4,cluster_mode_median,352,0.9943502824858758,0.3068181818181818,0.6079545454545454,0.7386363636363636,6.588068181818182,31.35958060074378
40,reasoning,0.4,cluster_mode_median_wlen,352,0.9943502824858758,0.3096590909090909,0.6221590909090909,0.75,6.590909090909091,31.355367816517333
40,reasoning,0.4,cluster_mode_median_wsize,352,0.9943502824858758,0.3068181818181818,0.5994318181818182,0.7471590909090909,10.244318181818182,95.68912733905086
40,reasoning,0.4,cluster_mode_mode,352,0.9943502824858758,0.3153409090909091,0.6051136363636364,0.7329545454545454,6.775568181818182,31.546187278626586
40,reasoning,0.4,cluster_mode_mode_wlen,352,0.9943502824858758,0.30113636363636365,0.6164772727272727,0.7329545454545454,5.6335227272727275,26.736562045259298
40,reasoning,0.4,cluster_mode_mode_wsize,352,0.9943502824858758,0.3068181818181818,0.5823863636363636,0.7414772727272727,10.505681818181818,95.77364412556781
40,reasoning,0.4,dedup_k_mean,353,0.9971751412429378,0.1529745042492918,0.43059490084985835,0.603399433427762,6731705.402266289,122880344.48241936
40,reasoning,0.4,dedup_k_median,353,0.9971751412429378,0.2096317280453258,0.5439093484419264,0.7280453257790368,194303.89801699718,3650523.095370836
40,reasoning,0.4,dedup_k_mode,353,0.9971751412429378,0.18980169971671387,0.5325779036827195,0.6827195467422096,6.243626062322946,28.8070655481559
40,reasoning,0.4,dedup_text_mean,353,0.9971751412429378,0.22946175637393768,0.5269121813031161,0.7053824362606232,4346463.082152975,79857851.4493826
40,reasoning,0.4,dedup_text_median,353,0.9971751412429378,0.3059490084985836,0.6317280453257791,0.7818696883852692,7.926345609065156,59.50580232141244
40,reasoning,0.4,dedup_text_mode,353,0.9971751412429378,0.3087818696883853,0.6062322946175638,0.7422096317280453,10.643059490084985,95.89171477856053
40,reasoning,0.4,mean,353,0.9971751412429378,0.22946175637393768,0.5269121813031161,0.7053824362606232,4346463.082152975,79857851.4493826
40,reasoning,0.4,median,353,0.9971751412429378,0.3059490084985836,0.6317280453257791,0.7818696883852692,7.926345609065156,59.50580232141244
40,reasoning,0.4,mode,353,0.9971751412429378,0.3087818696883853,0.6062322946175638,0.7422096317280453,10.643059490084985,95.89171477856053
40,reasoning,0.4,trimmed_mean_10,353,0.9971751412429378,0.2577903682719547,0.5807365439093485,0.7337110481586402,97163.83002832861,1825261.5532116613
40,reasoning,0.4,winsor_mean_10,353,0.9971751412429378,0.24645892351274787,0.56657223796034,0.7252124645892352,97166.65439093484,1825261.556959722
40,reasoning,0.7,cluster_mean_mean,353,0.9971751412429378,0.24079320113314448,0.5127478753541076,0.6572237960339944,9.11866540761725e+26,1.713241686455085e+28
