method,n,coverage,acc,acc_within1,acc_within2,mae,rmse,score_inv1p_abs
cluster_median_mode_wsqrt,2821,0.4980579096045198,0.477844735909252,0.7663948954271534,0.8496986884083658,4097830.103509394,202215357.4844697,0.6710686058549987
cluster_median_median_wsqrt,2821,0.4980579096045198,0.4760723147819922,0.7685218007798653,0.8532435306628855,4097779.5604395606,202215323.1849817,0.6709036795215713
cluster_mode_mode_wsqrt,2821,0.4980579096045198,0.47429989365473235,0.7695852534562212,0.8496986884083658,243719.06487061325,5788950.80660398,0.6697030616890303
cluster_mode_median_wsqrt,2821,0.4980579096045198,0.47217298830202054,0.771712158808933,0.8525345622119815,292389.69408011343,6339907.204979458,0.669210020839332
cluster_median_mode_wsize,2821,0.4980579096045198,0.47465437788018433,0.7632045373980858,0.847926267281106,4097830.0163062746,202215357.48446968,0.6688711068940342
cluster_median_median_wsize,2821,0.4980579096045198,0.4728819567529245,0.7639135058489898,0.8496986884083658,4097830.023750443,202215357.48446968,0.6682102081533748
cluster_mode_mode_wsize,2821,0.4980579096045198,0.4700460829493088,0.7653314427507976,0.847926267281106,292440.10776320455,6341001.05294635,0.6666584370719154
cluster_mode_median_wsize,2821,0.4980579096045198,0.46898263027295284,0.7660404112017015,0.847926267281106,292440.1183977313,6341001.0529463645,0.6661649336599418
cluster_median_mode,2821,0.4980579096045198,0.4555122297057781,0.7507975895072669,0.8387096774193549,194906.86423254164,5175949.815532665,0.6546236695844296
cluster_mode_mode,2821,0.4980579096045198,0.4519673874512584,0.7476072314781992,0.836582772066643,243626.27968805388,5786735.726094541,0.6517818997251615
cluster_median_median,2821,0.4980579096045198,0.44275079758950725,0.739808578518256,0.8316199929103155,219296.79758950727,5012234.882475341,0.6450560467759985
cluster_mode_median,2821,0.4980579096045198,0.43991492378589153,0.7380361573909962,0.8316199929103155,194940.6891173343,4842394.059774322,0.6434712664721215
cluster_mode_mean_wsize,2821,0.4980579096045198,0.4228996809641971,0.728465083303793,0.8245303084012762,3.4386462434000634e+26,1.4421678863460152e+28,0.6316570251850343
cluster_median_mean_wsize,2821,0.4980579096045198,0.4218362282878412,0.727756114852889,0.8241758241758241,3.4386462434000634e+26,1.4421678863460152e+28,0.6311907104088356
cluster_mean_mode,2821,0.4980579096045198,0.4271534916696207,0.7192484934420418,0.814959234314073,185150.69124423963,4936886.420562812,0.6310252659782614
cluster_mean_median_wsqrt,2821,0.4980579096045198,0.4207727756114853,0.7181850407656859,0.8135412974122651,1.07804386429491e+27,4.375836453114906e+28,0.6277489612866841
cluster_mean_mode_wsqrt,2821,0.4980579096045198,0.4211272598369373,0.7118043247075505,0.8107054236086494,1.690450414851762e+27,5.588530610833212e+28,0.6265481558279237
cluster_mean_median,2821,0.4980579096045198,0.42006380716058134,0.7132222616093584,0.8099964551577454,210545.3661822049,4899161.5991121335,0.6254353096883732
cluster_mean_median_wsize,2821,0.4980579096045198,0.4115561857497341,0.7082594824530308,0.8053881602268699,1.690450414851762e+27,5.588530610833212e+28,0.6202909940637673
cluster_mean_mode_wsize,2821,0.4980579096045198,0.4122651542006381,0.7043601559730592,0.8039702233250621,1.8881969079899598e+27,5.686368707307131e+28,0.6197908373237687
cluster_median_mean_wsqrt,2821,0.4980579096045198,0.40269408011343494,0.7050691244239631,0.8021978021978022,4.087875876266185e+26,1.5448303894441208e+28,0.6140565900501577
cluster_mode_mean_wsqrt,2821,0.4980579096045198,0.39844026940801136,0.7096774193548387,0.8057426444523219,4.087875876266185e+26,1.5448303894441208e+28,0.61294941339075
cluster_median_mean,2821,0.4980579096045198,0.38461538461538464,0.6841545551222971,0.7855370436015597,4.6498762653914805e+26,1.6608546747164761e+28,0.5979735412711779
cluster_mean_mean_wsize,2821,0.4980579096045198,0.3824884792626728,0.6820276497695853,0.7873094647288196,1.6366137968990278e+27,4.403726980300852e+28,0.5966079860438201
cluster_mode_mean,2821,0.4980579096045198,0.380361573909961,0.684509039347749,0.7858915278270117,4.6498762653914805e+26,1.6608546747164761e+28,0.5958022412556758
cluster_mean_mean_wsqrt,2821,0.4980579096045198,0.37575327897908545,0.6660758596242468,0.772066643034385,1.1847296612584707e+27,3.137547431528543e+28,0.5882075075737886
cluster_mean_mean,2821,0.4980579096045198,0.3661822048918823,0.6568592697624955,0.7635590216235377,7.938187572620369e+26,2.205238495280973e+28,0.5795650936194673
dedup_text_median,5646,0.996822033898305,0.34396032589443853,0.5963513992206873,0.7027984413744244,218866.46723343962,5291786.2143706875,0.5461433182589672
dedup_text_mode,5646,0.996822033898305,0.35051363797378676,0.5864328728303223,0.6845554374778604,163046.1950053135,4636448.141655574,0.5412383279852159
median,5646,0.996822033898305,0.3294367693942614,0.5697839178179241,0.6709174636911087,207937.68986893375,5227630.204175546,0.5265193125488967
